,time_sec,value
0,0.0,95.068138
1,0.127029,95.068138
2,0.254058,95.068138
3,0.381087,95.068138
4,0.508116,11.875406
5,0.635145,11.875406
6,0.762174,11.875406
7,0.889203,11.875406
8,1.016231,11.875406
9,1.14326,11.875406
10,1.270289,11.875406
11,1.397318,11.875406
12,1.524347,11.74562
13,1.651376,11.74562
14,3.937897,10.772226
15,4.064926,10.837119
16,4.191955,10.902012
17,4.318984,10.902012
18,4.446013,10.902012
19,4.573042,10.902012
20,4.700071,10.902012
21,4.8271,11.74562
22,4.954128,11.74562
23,5.081157,11.74562
24,5.208186,11.74562
25,5.335215,11.74562
26,5.462244,11.74562
27,5.589273,11.74562
28,5.716302,11.74562
29,5.843331,11.875406
30,5.97036,11.875406
31,6.097389,11.875406
32,6.224418,11.875406
33,6.351447,11.875406
34,6.478476,11.875406
35,6.605505,11.875406
36,6.732534,11.875406
37,6.859562,11.875406
38,6.986591,11.875406
39,7.11362,11.875406
40,7.240649,11.875406
41,7.367678,11.875406
42,7.494707,11.875406
43,7.621736,11.875406
44,7.748765,11.875406
45,7.875794,11.875406
46,8.002823,11.875406
47,8.129852,11.875406
48,8.256881,11.875406
49,8.38391,11.74562
50,8.510939,11.74562
51,8.637968,11.486048
52,8.764996,11.486048
53,8.892025,11.09669
54,9.019054,11.09669
55,9.146083,11.09669
56,9.273112,11.09669
57,9.400141,10.707333
58,9.52717,10.707333
59,11.432604,10.707333
60,11.559633,10.707333
61,11.686662,10.707333
62,11.813691,10.707333
63,11.94072,10.707333
64,12.067749,10.707333
65,12.194778,10.707333
66,12.321807,10.707333
67,12.448836,10.707333
68,12.575865,10.707333
69,12.702893,11.09669
70,12.829922,11.09669
71,12.956951,11.09669
72,13.08398,11.09669
73,13.211009,11.09669
74,13.338038,11.09669
75,13.465067,12.394549
76,13.592096,12.394549
77,13.719125,12.654121
78,13.846154,12.654121
79,13.973183,12.654121
80,14.100212,12.654121
81,14.227241,12.654121
82,14.35427,12.654121
83,14.481299,12.654121
84,14.608327,12.654121
85,14.735356,12.654121
86,14.862385,12.654121
87,14.989414,12.654121
88,15.116443,12.654121
89,15.243472,12.654121
90,15.370501,12.654121
91,15.49753,12.654121
92,15.624559,12.654121
93,15.751588,13.30305
94,15.878617,13.30305
95,16.005646,13.30305
96,16.132675,13.30305
97,16.259704,14.081765
98,16.386733,14.081765
99,16.513761,14.600909
100,16.64079,14.600909
101,16.767819,14.600909
102,16.894848,14.600909
103,17.021877,15.509409
104,17.148906,15.509409
105,17.275935,15.768981
106,17.402964,15.768981
107,17.529993,15.768981
108,17.657022,15.768981
109,17.784051,15.768981
110,17.91108,15.768981
111,18.038109,15.768981
112,18.165138,15.768981
113,18.292167,17.196626
114,18.419195,17.196626
115,18.546224,17.196626
116,18.673253,17.196626
117,18.800282,17.196626
118,18.927311,17.196626
119,19.05434,18.105127
120,19.181369,18.105127
121,19.308398,18.105127
122,19.435427,18.105127
123,19.562456,18.105127
124,19.689485,18.105127
125,19.816514,18.105127
126,19.943543,18.105127
127,20.578687,20.895522
128,20.705716,20.895522
129,20.832745,21.025308
130,20.959774,21.025308
131,21.086803,21.025308
132,21.213832,21.025308
133,21.340861,21.025308
134,21.46789,21.025308
135,21.594919,21.025308
136,21.721948,21.025308
137,21.848977,21.025308
138,21.976006,21.025308
139,22.103035,21.155094
140,22.230064,21.155094
141,22.357092,21.155094
142,22.484121,21.155094
143,22.61115,21.804023
144,22.738179,21.804023
145,22.865208,21.933809
146,22.992237,21.933809
147,23.119266,21.933809
148,23.246295,21.933809
149,23.373324,23.231668
150,23.500353,23.231668
151,23.627382,23.231668
152,23.754411,23.231668
153,23.88144,23.231668
154,24.008469,23.231668
155,24.135498,24.010383
156,24.262526,24.010383
157,24.389555,24.010383
158,24.516584,24.010383
159,24.643613,24.010383
160,24.770642,24.010383
161,24.897671,24.010383
162,25.0247,24.010383
163,25.151729,24.010383
164,25.278758,24.010383
165,25.405787,24.010383
166,25.532816,24.010383
167,25.913903,24.010383
168,26.040932,24.010383
169,26.16796,24.010383
170,26.294989,24.010383
171,26.422018,24.010383
172,26.549047,24.010383
173,26.676076,24.010383
174,26.803105,24.010383
175,26.930134,24.010383
176,27.057163,24.010383
177,27.184192,24.010383
178,27.311221,24.010383
179,27.43825,24.010383
180,27.565279,24.010383
181,27.692308,24.010383
182,27.819337,24.010383
183,27.946366,24.010383
184,28.073394,24.010383
185,28.200423,23.491239
186,28.327452,23.491239
187,28.454481,23.491239
188,28.58151,23.491239
189,28.708539,23.361454
190,28.835568,23.361454
191,28.962597,23.231668
192,29.089626,23.231668
193,29.216655,22.582738
194,29.343684,22.582738
195,29.470713,22.582738
196,29.597742,22.582738
197,29.724771,22.193381
198,29.8518,22.193381
199,29.978829,22.193381
200,30.105857,22.193381
201,30.232886,22.193381
202,30.359915,22.193381
203,30.486944,22.193381
204,30.613973,22.193381
205,30.741002,22.193381
206,30.868031,22.193381
207,30.99506,22.193381
208,31.122089,22.193381
209,31.249118,22.193381
210,31.376147,22.193381
211,31.503176,22.193381
212,31.630205,22.193381
213,31.757234,22.193381
214,31.884263,22.193381
215,32.011291,22.193381
216,32.13832,22.193381
217,32.265349,21.674238
218,32.392378,21.674238
219,32.519407,21.544452
220,32.646436,21.544452
221,32.773465,21.804023
222,32.900494,21.804023
223,33.027523,21.933809
224,33.154552,21.933809
225,33.281581,21.933809
226,33.40861,21.933809
227,33.535639,21.933809
228,33.662668,21.933809
229,33.789697,22.452953
230,33.916725,22.452953
231,34.043754,22.712524
232,34.170783,22.712524
233,34.297812,22.972096
234,34.424841,22.972096
235,34.55187,22.972096
236,34.678899,22.972096
237,34.805928,22.972096
238,34.932957,22.972096
239,35.059986,22.972096
240,35.187015,22.972096
241,35.314044,22.972096
242,35.441073,22.972096
243,35.568102,22.972096
244,35.695131,22.972096
245,35.822159,22.972096
246,35.949188,22.972096
247,36.076217,22.972096
248,36.203246,22.972096
249,36.330275,22.193381
250,36.457304,22.193381
251,36.584333,22.193381
252,36.711362,22.193381
253,36.838391,22.193381
254,36.96542,22.193381
255,37.092449,22.193381
256,37.219478,22.193381
257,37.346507,22.193381
258,37.473536,22.193381
259,37.600565,22.193381
260,37.727594,22.193381
261,37.854622,22.193381
262,37.981651,22.193381
263,38.10868,22.193381
264,38.235709,22.193381
265,38.362738,22.193381
266,38.489767,22.193381
267,38.616796,22.193381
268,38.743825,22.193381
269,38.870854,22.193381
270,38.997883,22.193381
271,39.124912,21.544452
272,39.251941,21.544452
273,39.37897,21.414666
274,39.505999,21.414666
275,39.633028,21.28488
276,39.760056,21.28488
277,39.887085,21.025308
278,40.014114,21.025308
279,40.141143,21.155094
280,40.268172,21.155094
281,40.395201,21.155094
282,40.52223,21.155094
283,40.649259,21.155094
284,40.776288,21.155094
285,40.903317,21.155094
286,41.030346,21.155094
287,41.157375,21.155094
288,41.284404,21.155094
289,41.411433,21.155094
290,41.538462,21.155094
291,41.66549,21.025308
292,41.792519,21.025308
293,41.919548,20.895522
294,42.046577,20.895522
295,44.206069,18.299805
296,44.333098,18.299805
297,44.460127,18.299805
298,44.587156,18.299805
299,44.714185,18.299805
300,44.841214,18.299805
301,44.968243,18.299805
302,45.095272,18.299805
303,45.222301,18.170019
304,45.34933,18.170019
305,45.476359,18.040234
306,45.603387,18.040234
307,45.730416,18.040234
308,45.857445,18.040234
309,45.984474,17.001947
310,46.111503,17.001947
311,46.238532,16.612589
312,46.365561,16.612589
313,46.49259,16.353018
314,46.619619,16.353018
315,46.746648,15.96366
316,46.873677,15.96366
317,47.000706,15.96366
318,47.127735,15.96366
319,47.254764,15.96366
320,47.381793,15.96366
321,47.508821,15.96366
322,47.63585,15.96366
323,47.762879,15.96366
324,47.889908,15.96366
325,48.016937,15.184945
326,48.143966,15.184945
327,48.270995,15.184945
328,48.398024,15.184945
329,48.525053,14.925373
330,48.652082,14.925373
331,48.779111,14.536016
332,48.90614,14.536016
333,49.033169,14.276444
334,49.160198,14.276444
335,49.287227,14.016872
336,49.414255,14.016872
337,49.541284,14.016872
338,49.668313,14.016872
339,49.795342,14.016872
340,49.922371,14.016872
341,50.0494,14.016872
342,50.176429,14.016872
343,50.303458,14.016872
344,50.430487,14.016872
345,50.557516,14.016872
346,50.684545,14.016872
347,50.811574,14.016872
348,50.938603,14.016872
349,51.065632,14.016872
350,51.192661,14.016872
351,51.319689,13.7573
352,51.446718,13.7573
353,51.573747,13.497729
354,51.700776,13.497729
355,51.827805,13.108371
356,51.954834,13.108371
357,52.081863,12.978585
358,52.208892,12.978585
359,52.335921,12.848799
360,52.46295,12.848799
361,52.589979,12.459442
362,52.717008,12.459442
363,52.844037,12.19987
364,52.971066,12.19987
365,53.098095,12.589228
366,53.225124,12.589228
367,53.352152,12.589228
368,53.479181,12.589228
369,53.60621,12.589228
370,53.733239,12.589228
371,53.860268,12.589228
372,53.987297,12.589228
373,54.114326,12.589228
374,54.241355,12.589228
375,54.368384,12.459442
376,54.495413,12.459442
377,58.560339,12.589228
378,58.687368,12.589228
379,58.814397,12.589228
380,58.941426,12.589228
381,59.068454,12.589228
382,59.195483,12.589228
383,59.322512,12.589228
384,59.449541,12.589228
385,59.57657,12.589228
386,59.703599,12.589228
387,59.830628,12.589228
388,59.957657,12.589228
389,60.084686,12.589228
390,60.211715,12.589228
391,60.338744,12.589228
392,60.465773,12.589228
393,60.592802,12.589228
